taxonomy_id	name	rank	LS-67	LS-35	LS-55	LS-65	LS-76	LS-93	LS-63	LS-85
36814	Mycolicibacterium rhodesiae	species	0	0	0	0	0	0	0	0
710685	Mycolicibacterium rhodesiae NBB3	strain	57	59	32	76	35	210	141	370
39688	Mycolicibacterium duvalii	species	56	33	62	25	79	105	40	96
1795	Mycolicibacterium neoaurum	species	55	47	19	76	41	126	133	140
319707	Mycolicibacterium aubagnense	species	53	40	57	17	41	67	53	70
212765	Mycolicibacterium madagascariense	species	52	64	49	56	45	176	152	287
1804	Mycolicibacterium gilvum	species	0	0	0	0	0	0	0	0
278137	Mycolicibacterium gilvum Spyr1	strain	52	35	22	41	42	83	109	111
1249101	Mycolicibacterium celeriflavum	species	48	47	58	9	94	129	49	94
39692	Mycolicibacterium parafortuitum	species	47	31	31	15	55	101	66	98
39695	Mycolicibacterium tokaiense	species	46	46	47	35	41	151	99	224
36813	Mycolicibacterium pulveris	species	45	17	14	8	16	85	43	101
67081	Mycolicibacterium alvei	species	44	56	55	22	45	57	17	56
1772	Mycolicibacterium smegmatis	species	36	39	46	24	30	54	22	74
1214915	Mycolicibacterium smegmatis MKD8	strain	7	13	10	0	10	18	6	28
126673	Mycolicibacterium doricum	species	42	34	28	53	27	150	84	262
1766	Mycolicibacterium fortuitum	species	40	34	272	118	155	93	24	59
53462	Mycolicibacterium mageritense	species	39	40	19	25	34	76	34	58
370526	Mycolicibacterium rutilum	species	34	39	29	29	45	78	61	97
319706	Mycolicibacterium phocaicum	species	33	46	50	22	37	68	19	65
85693	Mycolicibacterium monacense	species	33	31	23	11	13	62	55	62
146017	Mycolicibacterium boenickei	species	31	19	25	17	11	36	35	56
98668	Mycolicibacterium septicum	species	18	13	17	1	25	31	9	35
39694	Mycolicibacterium poriferae	species	18	22	44	6	43	21	12	34
110539	Mycolicibacterium vanbaalenii	species	0	0	0	0	0	0	0	0
350058	Mycolicibacterium vanbaalenii PYR-1	strain	13	40	22	7	55	46	14	39
1802	Mycolicibacterium farcinogenes	species	5	4	11	3	1	1	5	3
56689	Mycolicibacterium mucogenicum	species	0	0	0	0	0	0	0	0
1226753	Mycolicibacterium mucogenicum DSM 44124	strain	4	5	4	12	5	22	19	17
2487344	Mycolicibacterium nivoides	species	2	2	2	0	3	4	1	3
1073531	Mycolicibacter	genus	111	52	69	95	99	164	149	97
2642523	unclassified Mycolicibacter	no rank	94	66	73	64	81	114	114	97
2855503	Mycolicibacter sp. MYC340	species	30	10	10	14	23	45	23	49
2872309	Mycolicibacter sp. MYC098	species	23	21	31	4	34	51	18	36
2875777	Mycolicibacter sp. MYC017	species	14	14	12	8	8	11	14	14
2872311	Mycolicibacter sp. MYC101	species	8	15	18	0	10	35	2	21
2855502	Mycolicibacter sp. MYC123	species	5	1	5	4	4	5	7	4
1118379	Mycolicibacter minnesotensis	species	55	21	14	314	16	60	625	85
1788	Mycolicibacter terrae	species	40	15	22	8	25	39	28	51
29314	Mycolicibacter hiberniae	species	38	25	11	34	15	41	79	61
875328	Mycolicibacter sinensis	species	7	1	2	1	4	3	2	11
670516	Mycobacteroides	genus	87	49	78	32	65	131	70	121
36809	Mycobacteroides abscessus	species	73	25	24	17	87	133	28	78
1185650	Mycobacteroides abscessus subsp. abscessus	subspecies	6	0	5	2	10	3	11	10
83262	Mycobacteroides immunogenum	species	21	8	17	0	23	13	11	9
1774	Mycobacteroides chelonae	species	20	8	27	11	36	53	39	27
404941	Mycobacteroides salmoniphilum	species	20	9	12	38	12	20	95	37
1520670	[Mycobacterium] stephanolepidis	species	19	3	10	5	17	14	7	9
1578165	Mycobacteroides saopaulense	species	7	1	3	5	6	21	6	7
697025	Hoyosella	genus	0	0	0	0	0	0	0	0
639313	Hoyosella subflava	species	0	0	0	0	0	0	0	0
443218	Hoyosella subflava DQS3-9A1	strain	3	2	11	46	2	13	30	10
85025	Nocardiaceae	family	232	260	246	196	316	503	419	599
1827	Rhodococcus	genus	1411	1727	775	2732	876	2360	7948	4893
192944	unclassified Rhodococcus (in: high G+C Gram-positive bacteria)	no rank	58	61	40	97	43	173	248	308
1302308	Rhodococcus sp. P1Y	species	146	48	5	268	5	79	342	156
1805827	Rhodococcus sp. MTM3W5.2	species	75	183	32	509	78	1423	1050	3671
2795031	Rhodococcus sp. P-2	species	62	51	30	73	31	48	273	37
1564114	Rhodococcus sp. B7740	species	47	67	8	244	21	48	470	100
2811421	Rhodococcus pseudokoreensis	species	16	2	68	8	17	23	6	29
2742603	Rhodococcus sp. W8901	species	10	5	5	10	4	32	84	105
679318	Rhodococcus sp. WMMA185	species	7	5	12	1	10	10	6	9
2054902	Rhodococcus sp. AQ5-07	species	7	4	3	18	8	26	78	40
2749906	Rhodococcus sp. ZPP	species	3	2	4	1	0	2	5	9
2499145	Rhodococcus sp. X156	species	3	11	2	0	4	2	7	1
2885078	Rhodococcus sp. RDE2	species	2	0	1	0	0	4	0	0
2567884	Rhodococcus sp. SGAir0479	species	2	7	0	10	1	4	29	21
2507582	Rhodococcus sp. ABRD24	species	2	12	2	4	2	13	12	34
1727214	Rhodococcus sp. H-CA8f	species	2	10	3	17	2	7	59	19
1723645	Rhodococcus sp. 008	species	2	2	2	9	0	4	19	6
1045808	Rhodococcus sp. YL-1	species	2	3	0	8	0	7	20	10
2663121	Rhodococcus sp. WAY2	species	1	4	1	3	0	11	9	26
1807790	Rhodococcus sp. BH4	species	1	9	0	8	0	1	17	11
2722825	Rhodococcus sp. DMU1	species	1	0	0	0	0	0	0	6
1828	Rhodococcus fascians	species	124	153	19	381	23	131	584	259
1443894	Rhodococcus fascians A25f	strain	30	23	1	95	2	21	126	46
1051973	Rhodococcus fascians D188	strain	29	45	0	61	0	20	65	39
1443893	Rhodococcus fascians A21d2	strain	22	27	4	55	7	29	140	60
2840174	Rhodococcus erythropolis group	species group	22	42	12	28	6	14	143	77
1833	Rhodococcus erythropolis	species	41	80	18	150	24	90	435	223
234621	Rhodococcus erythropolis PR4	strain	11	12	2	18	3	10	72	17
1136179	Rhodococcus erythropolis CCM2595	strain	7	3	3	17	2	11	55	8
1289591	Rhodococcus erythropolis R138	strain	6	6	0	19	11	16	36	25
334542	Rhodococcus qingshengii	species	25	80	48	78	29	62	264	160
33008	Rhodococcus globerulus	species	76	74	16	525	16	333	991	756
37919	Rhodococcus opacus	species	36	39	22	65	37	135	96	234
543736	Rhodococcus opacus PD630	strain	11	3	2	17	1	32	19	101
632772	Rhodococcus opacus B4	strain	2	4	1	0	0	2	1	11
38310	Rhodococcus coprophilus	species	37	70	10	195	4	218	333	616
43767	Prescottella equi	species	29	23	31	62	44	60	185	176
132919	Rhodococcus jostii	species	0	0	0	0	0	0	0	0
101510	Rhodococcus jostii RHA1	strain	21	14	14	56	3	71	57	150
1830	Rhodococcus ruber	species	10	8	23	1	12	19	2	13
103816	Rhodococcus pyridinivorans	species	9	2	6	3	1	8	3	12
1829	Rhodococcus rhodochrous	species	7	4	4	1	2	9	4	9
99653	Rhodococcus koreensis	species	3	1	0	12	0	9	9	31
300028	Rhodococcus triatomae	species	3	3	2	0	4	2	1	11
1817	Nocardia	genus	135	115	73	171	83	308	401	502
455432	Nocardia terpenica	species	21	7	29	1	33	21	10	23
1823	Nocardia otitidiscaviarum	species	14	4	2	2	3	6	1	9
480035	Nocardia wallacei	species	14	11	7	4	2	7	4	11
135487	Nocardia cyriacigeorgica	species	10	8	2	15	4	11	7	9
1127134	Nocardia cyriacigeorgica GUH-2	strain	3	0	2	2	0	1	2	0
1824	Nocardia asteroides	species	12	10	10	25	5	50	54	61
2382165	Nocardia yunnanensis	species	12	14	10	1	10	20	6	17
2213200	Nocardia mangyaensis	species	7	2	1	8	0	15	19	7
37330	Nocardia nova	species	0	0	0	0	0	0	0	0
1415166	Nocardia nova SH22a	strain	6	3	9	4	2	16	4	3
37329	Nocardia farcinica	species	5	4	3	11	5	7	15	25
37326	Nocardia brasiliensis	species	4	2	1	3	2	1	24	24
228602	Nocardia arthritidis	species	4	1	3	7	5	8	13	8
204891	Nocardia iowensis	species	3	0	2	10	1	4	8	7
2637762	unclassified Nocardia	no rank	0	0	0	0	0	0	0	0
2755382	Nocardia huaxiensis	species	2	1	1	0	1	6	4	5
1653	Corynebacteriaceae	family	0	0	0	0	0	0	0	0
1716	Corynebacterium	genus	120	136	192	202	87	297	220	249
1727	Corynebacterium variabile	species	0	0	0	0	0	0	0	0
858619	Corynebacterium variabile DSM 44702	strain	19	21	154	11	8	14	9	4
2624378	unclassified Corynebacterium	no rank	3	0	0	3	0	3	2	4
2675219	Corynebacterium occultum	species	6	6	1	42	0	13	35	38
2675218	Corynebacterium comes	species	5	0	0	11	0	27	29	49
2763010	Corynebacterium lujinxingii	species	2	1	0	0	0	0	2	0
702967	Corynebacterium sp. NML98-0116	species	2	0	0	0	2	6	0	0
699041	Corynebacterium hindlerae	species	1	0	1	0	0	0	0	1
152794	Corynebacterium efficiens	species	0	0	0	0	0	0	0	0
196164	Corynebacterium efficiens YS-314	strain	13	2	2	10	1	13	3	2
322009	Corynebacterium cyclohexanicum	species	13	4	6	21	2	5	19	12
2684406	Corynebacterium anserum	species	8	0	0	0	0	3	4	1
1072256	Corynebacterium uterequi	species	7	0	1	0	0	0	0	0
191493	Corynebacterium sphenisci	species	0	0	0	0	0	0	0	0
1437874	Corynebacterium sphenisci DSM 44792	strain	6	1	3	3	0	2	1	2
53374	Corynebacterium coyleae	species	5	1	0	0	0	0	0	0
134034	Corynebacterium freneyi	species	4	3	3	0	1	3	0	3
43771	Corynebacterium urealyticum	species	4	0	1	0	0	0	0	1
43770	Corynebacterium striatum	species	4	3	2	6	0	4	2	0
160386	Corynebacterium casei	species	0	0	0	0	0	0	0	0
1285583	Corynebacterium casei LMG S-19264	strain	4	0	0	0	0	0	0	0
1231000	Corynebacterium lactis	species	0	0	0	0	0	0	0	0
1408189	Corynebacterium lactis RW2-5	strain	4	1	1	0	0	1	1	0
187491	Corynebacterium glaucum	species	3	1	0	0	0	2	0	4
38304	Corynebacterium tuberculostearicum	species	2	1	6	6	4	2	3	1
38305	Corynebacterium vitaeruminis	species	0	0	0	0	0	0	0	0
1224164	Corynebacterium vitaeruminis DSM 20294	strain	2	15	30	24	1	29	11	3
89154	Corynebacterium terpenotabidum	species	0	0	0	0	0	0	0	0
1200352	Corynebacterium terpenotabidum Y-11	strain	2	5	0	0	0	2	1	1
1979527	Corynebacterium kefirresidentii	species	2	1	4	2	0	2	0	0
43765	Corynebacterium amycolatum	species	2	1	0	0	0	1	0	0
43768	Corynebacterium matruchotii	species	2	1	0	0	0	0	4	0
43769	Corynebacterium propinquum	species	2	13	0	1	0	0	0	2
1725	Corynebacterium xerosis	species	2	8	3	1	0	9	3	13
1724	Corynebacterium renale	species	2	1	2	0	0	1	0	0
156976	Corynebacterium riegelii	species	2	2	0	0	0	0	0	1
1121358	Corynebacterium doosanense	species	0	0	0	0	0	0	0	0
558173	Corynebacterium doosanense CAU 212 = DSM 45436	strain	2	2	1	0	0	2	2	2
1032851	Corynebacterium nuruki	species	0	0	0	0	0	0	0	0
863239	Corynebacterium nuruki S6-4	strain	1	5	4	0	0	1	1	0
225326	Corynebacterium halotolerans	species	0	0	0	0	0	0	0	0
1121362	Corynebacterium halotolerans YIM 70093 = DSM 44683	strain	1	4	1	1	0	1	2	0
136857	Corynebacterium testudinoris	species	1	0	0	0	0	4	0	2
146827	Corynebacterium simulans	species	1	1	1	0	0	2	0	0
441500	Corynebacterium timonense	species	1	3	0	0	0	0	0	1
1223514	Corynebacterium humireducens	species	0	0	0	0	0	0	0	0
1223515	Corynebacterium humireducens NBRC 106098 = DSM 45392	strain	1	2	0	1	1	3	3	2
2754725	Corynebacterium incognita	species	1	3	1	0	0	2	0	0
349751	Corynebacterium marinum	species	0	0	0	0	0	0	0	0
1224162	Corynebacterium marinum DSM 44953	strain	1	0	1	21	1	16	21	18
1404244	Corynebacterium glyciniphilum	species	0	0	0	0	0	0	0	0
1404245	Corynebacterium glyciniphilum AJ 3170	strain	1	0	0	1	0	2	2	0
43990	Corynebacterium segmentosum	species	1	0	0	2	2	0	0	4
39791	Corynebacterium glucuronolyticum	species	1	2	0	6	0	0	2	1
28028	Corynebacterium flavescens	species	1	0	4	5	0	3	2	2
38302	Corynebacterium mycetoides	species	1	0	1	1	0	1	2	0
108486	Corynebacterium falsenii	species	1	1	2	0	1	2	0	1
85026	Gordoniaceae	family	0	0	0	0	2	5	3	4
2053	Gordonia	genus	103	89	86	115	108	176	204	203
84595	Gordonia polyisoprenivorans	species	6	4	28	3	20	30	4	15
1136941	Gordonia phthalatica	species	4	1	0	0	1	2	1	0
2597659	Gordonia zhaorongruii	species	4	2	2	4	0	2	8	3
2657482	unclassified Gordonia (in: high G+C Gram-positive bacteria)	no rank	0	2	2	0	0	0	0	0
337191	Gordonia sp. KTR9	species	3	3	4	3	1	2	4	6
2676309	Gordonia sp. 135	species	1	0	4	24	2	13	23	35
2758710	Gordonia jinghuaiqii	species	4	4	2	4	3	8	10	5
2055	Gordonia terrae	species	3	2	0	1	0	5	2	3
249058	Gordonia otitidis	species	3	4	9	10	7	3	3	7
1004901	Gordonia iterans	species	3	20	7	1	14	3	2	5
2420509	Gordonia insulae	species	3	2	4	1	7	5	10	4
2831662	Gordonia pseudamarae	species	3	14	8	0	4	6	5	6
2054	Gordonia bronchialis	species	2	3	3	4	4	29	2	8
36821	Gordonia amarae	species	2	6	2	7	1	11	0	7
84096	Gordonia alkanivorans	species	2	0	0	13	0	13	21	33
36822	Gordonia rubripertincta	species	1	2	10	6	5	17	7	12
59613	Skermania	genus	0	0	0	0	0	0	0	0
39122	Skermania piniformis	species	8	3	10	4	4	8	8	12
85029	Dietziaceae	family	0	0	0	0	0	0	0	0
37914	Dietzia	genus	6	6	5	17	7	14	19	21
139021	Dietzia psychralcaliphila	species	11	6	7	4	3	9	9	29
2617939	unclassified Dietzia	no rank	3	5	0	3	2	0	2	13
712270	Dietzia sp. oral taxon 368	species	2	1	3	0	0	9	2	8
546160	Dietzia lutea	species	3	6	1	1	1	2	0	3
499555	Dietzia timorensis	species	2	1	0	0	0	2	0	0
85028	Tsukamurellaceae	family	0	0	0	0	0	0	0	0
2060	Tsukamurella	genus	3	1	0	6	2	14	7	19
57704	Tsukamurella tyrosinosolvens	species	13	13	7	2	17	17	6	12
2061	Tsukamurella paurometabola	species	3	7	2	7	4	6	7	2
521096	Tsukamurella paurometabola DSM 20162	strain	1	1	1	5	2	10	4	7
697024	Corynebacteriales incertae sedis	no rank	0	0	0	0	0	0	0	0
741759	Tomitella	genus	0	0	0	0	0	0	0	0
2645312	unclassified Tomitella	no rank	6	21	12	5	2	6	4	4
2760083	Tomitella gaofuii	species	4	1	2	0	2	0	1	8
316606	Segniliparaceae	family	0	0	0	0	0	0	0	0
286801	Segniliparus	genus	0	0	0	0	0	0	0	0
286802	Segniliparus rotundus	species	0	0	0	0	0	0	0	0
640132	Segniliparus rotundus DSM 44985	strain	5	10	2	2	3	14	8	16
85006	Micrococcales	order	1819	4422	3938	3427	1810	3659	5195	6020
85023	Microbacteriaceae	family	1103	4752	1054	2604	546	1959	3627	3263
69578	Cryobacterium	genus	404	3076	93	609	38	293	812	519
2649013	unclassified Cryobacterium	no rank	37	177	6	31	1	13	67	38
1978566	Cryobacterium sp. LW097	species	123	951	39	173	10	102	270	192
2861288	Cryobacterium sp. PAMC25264	species	20	174	8	33	2	14	42	16
1926290	Cryobacterium sp.	species	7	14	0	2	2	0	5	3
670052	Cryobacterium arcticum	species	63	606	11	70	3	34	89	27
2220095	Cryobacterium soli	species	54	291	17	83	5	35	76	46
33882	Microbacterium	genus	205	832	1367	1707	648	503	2278	766
2609290	unclassified Microbacterium	no rank	24	79	139	195	65	53	234	91
1906742	Microbacterium sp. BH-3-3-3	species	25	30	5	28	6	3	49	10
2268461	Microbacterium sp. ABRD28	species	8	17	0	56	0	9	128	10
2763257	Microbacterium sp. YJN-G	species	5	3	0	0	2	2	2	5
367477	Microbacterium sp. XT11	species	5	1	2	0	0	3	8	1
2782169	Microbacterium cremeum	species	4	19	1	4	1	4	38	9
2014534	Microbacterium sp. PM5	species	3	2	6	0	0	3	4	0
2782167	Microbacterium luteum	species	3	3	4	2	2	2	4	0
2606451	Microbacterium sp. 1S1	species	2	2	21	3	12	0	0	3
2483401	Microbacterium sp. 10M-3C3	species	2	4	3	7	1	6	8	3
2048898	Microbacterium sp. Y-01	species	1	5	41	22	34	5	0	7
1906274	Microbacterium sp. JZ31	species	1	4	2	2	0	3	0	0
2861281	Microbacterium sp. PAMC22086	species	1	10	12	15	0	4	22	8
36805	Microbacterium aurum	species	9	13	37	43	18	12	24	13
904291	Microbacterium sediminis	species	7	49	48	31	21	51	10	15
82380	Microbacterium oxydans	species	6	33	123	73	60	15	72	30
2033	Microbacterium testaceum	species	0	0	0	0	0	0	0	0
979556	Microbacterium testaceum StLB037	strain	5	6	4	3	1	2	3	2
69362	Microbacterium schleiferi	species	5	11	8	7	0	7	7	2
84292	Microbacterium chocolatum	species	5	57	5	169	2	22	203	18
162426	Microbacterium hominis	species	5	8	3	13	0	9	12	15
104336	Microbacterium foliorum	species	4	12	5	26	5	7	19	2
1072463	Microbacterium lemovicicum	species	4	4	1	8	0	7	7	5
2614638	Microbacterium caowuchunii	species	3	12	2	17	0	6	33	18
2769067	Microbacterium chengjingii	species	2	0	0	0	0	0	0	0
370764	Microbacterium pygmaeum	species	2	7	1	47	0	4	74	21
273677	Microbacterium oleivorans	species	2	3	2	5	0	7	13	8
1526412	Microbacterium endophyticum	species	1	6	0	1	0	0	3	1
2614639	Microbacterium lushaniae	species	1	3	0	0	0	0	9	8
2708079	Microbacterium fandaimingii	species	1	0	1	0	0	0	0	3
1705353	Aurantimicrobium	genus	16	6	0	84	2	0	1	1
2623385	unclassified Aurantimicrobium	no rank	7	1	0	22	0	0	0	0
1987356	Aurantimicrobium photophilum	species	80	28	2	290	0	0	2	0
2079575	Aurantimicrobium sp. MWH-Uga1	species	6	2	0	23	0	1	0	0
708131	Aurantimicrobium minutum	species	2	0	0	8	0	0	0	0
110932	Leifsonia	genus	1	15	14	11	8	7	12	11
2663824	unclassified Leifsonia	no rank	17	8	18	14	8	11	8	35
2781978	Leifsonia sp. ZF2019	species	5	0	4	4	6	1	2	4
1798223	Leifsonia sp. 21MFCrub1.1	species	3	1	6	1	0	1	0	1
1575	Leifsonia xyli	species	0	3	1	0	0	2	1	2
59736	Leifsonia xyli subsp. xyli	subspecies	0	0	0	0	0	0	0	0
281090	Leifsonia xyli subsp. xyli str. CTCB07	strain	4	6	0	0	0	5	0	2
150026	Leifsonia shinshuensis	species	1	7	2	8	4	2	1	10
33877	Agromyces	genus	4	31	35	46	22	16	32	35
453304	Agromyces aureus	species	6	23	16	2	10	18	7	12
2639701	unclassified Agromyces	no rank	0	5	1	0	0	0	0	0
2498704	Agromyces sp. LHK192	species	6	2	3	3	0	2	4	0
589382	Agromyces flavus	species	3	0	7	3	1	1	4	3
2585717	Agromyces laixinhei	species	2	23	8	0	2	4	7	8
2592652	Agromyces intestinalis	species	2	6	6	1	1	2	4	7
2080742	Agromyces badenianii	species	1	4	31	9	1	1	6	6
235888	Salinibacterium	genus	0	1	1	2	0	1	2	3
2632331	unclassified Salinibacterium	no rank	1	2	0	2	0	0	2	3
